"id","dateadd","dateedit"
159,"2016-09-20 16:59:22","2016-09-29 09:00:25"
143,"2016-09-20 16:59:22","2016-09-22 16:46:31"
106,"2016-09-20 16:59:22","2016-09-20 16:59:22"
120,"2016-09-20 16:59:22","2016-09-20 16:59:22"
119,"2016-09-20 16:59:22","2016-09-20 16:59:22"
20,"2016-09-20 16:59:22","2016-09-20 16:59:22"
137,"2016-09-20 16:59:22","2016-09-20 16:59:22"
136,"2016-09-20 16:59:22","2016-09-20 16:59:22"
149,"2016-09-20 16:59:22","2016-09-20 16:59:22"
93,"2016-09-20 16:59:22","2016-09-20 16:59:22"
135,"2016-09-20 16:59:22","2016-09-20 16:59:22"
39,"2016-09-20 16:59:22","2016-09-20 16:59:22"
131,"2016-09-20 16:59:22","2016-09-20 16:59:22"
17,"2016-09-20 16:59:22","2016-09-20 16:59:22"
142,"2016-09-20 16:59:22","2016-09-20 16:59:22"
33,"2016-09-20 16:59:22","2016-09-20 16:59:22"
109,"2016-09-20 16:59:22","2016-09-20 16:59:22"
34,"2016-09-20 16:59:22","2016-09-20 16:59:22"
10,"2016-09-20 16:59:22","2016-09-20 16:59:22"
146,"2016-09-20 16:59:22","2016-09-20 16:59:22"
139,"2016-09-20 16:59:22","2016-09-20 16:59:22"
145,"2016-09-20 16:59:22","2016-09-20 16:59:22"
46,"2016-09-20 16:59:22","2016-09-20 16:59:22"
15,"2016-09-20 16:59:22","2016-09-20 16:59:22"
140,"2016-09-20 16:59:22","2016-09-20 16:59:22"
153,"2016-09-20 16:59:22","2016-09-20 16:59:22"
40,"2016-09-20 16:59:22","2016-09-20 16:59:22"
56,"2016-09-20 16:59:22","2016-09-20 16:59:22"
123,"2016-09-20 16:59:22","2016-09-20 16:59:22"
13,"2016-09-20 16:59:22","2016-09-20 16:59:22"
91,"2016-09-20 16:59:22","2016-09-20 16:59:22"
21,"2016-09-20 16:59:22","2016-09-20 16:59:22"
112,"2016-09-20 16:59:22","2016-09-20 16:59:22"
107,"2016-09-20 16:59:22","2016-09-20 16:59:22"
108,"2016-09-20 16:59:22","2016-09-20 16:59:22"
52,"2016-09-20 16:59:22","2016-09-20 16:59:22"
158,"2016-09-20 16:59:22","2016-09-20 16:59:22"
113,"2016-09-20 16:59:22","2016-09-20 16:59:22"
55,"2016-09-20 16:59:22","2016-09-20 16:59:22"
68,"2016-09-20 16:59:22","2016-09-20 16:59:22"
38,"2016-09-20 16:59:22","2016-09-20 16:59:22"
129,"2016-09-20 16:59:22","2016-09-20 16:59:22"
8,"2016-09-20 16:59:22","2016-09-20 16:59:22"
28,"2016-09-20 16:59:22","2016-09-20 16:59:22"
94,"2016-09-20 16:59:22","2016-09-20 16:59:22"
30,"2016-09-20 16:59:22","2016-09-20 16:59:22"
95,"2016-09-20 16:59:22","2016-09-20 16:59:22"
122,"2016-09-20 16:59:22","2016-09-20 16:59:22"
117,"2016-09-20 16:59:22","2016-09-20 16:59:22"
155,"2016-09-20 16:59:22","2016-09-20 16:59:22"
114,"2016-09-20 16:59:22","2016-09-20 16:59:22"
156,"2016-09-20 16:59:22","2016-09-20 16:59:22"
132,"2016-09-20 16:59:22","2016-09-20 16:59:22"
67,"2016-09-20 16:59:22","2016-09-20 16:59:22"
51,"2016-09-20 16:59:22","2016-09-20 16:59:22"
42,"2016-09-20 16:59:22","2016-09-20 16:59:22"
74,"2016-09-20 16:59:22","2016-09-20 16:59:22"
6,"2016-09-20 16:59:22","2016-09-20 16:59:22"
29,"2016-09-20 16:59:22","2016-09-20 16:59:22"
141,"2016-09-20 16:59:22","2016-09-20 16:59:22"
16,"2016-09-20 16:59:22","2016-09-20 16:59:22"
54,"2016-09-20 16:59:22","2016-09-20 16:59:22"
115,"2016-09-20 16:59:22","2016-09-20 16:59:22"
148,"2016-09-20 16:59:22","2016-09-20 16:59:22"
36,"2016-09-20 16:59:22","2016-09-20 16:59:22"
53,"2016-09-20 16:59:22","2016-09-20 16:59:22"
92,"2016-09-20 16:59:22","2016-09-20 16:59:22"
44,"2016-09-20 16:59:22","2016-09-20 16:59:22"
111,"2016-09-20 16:59:22","2016-09-20 16:59:22"
49,"2016-09-20 16:59:22","2016-09-20 16:59:22"
22,"2016-09-20 16:59:22","2016-09-20 16:59:22"
75,"2016-09-20 16:59:22","2016-09-20 16:59:22"
124,"2016-09-20 16:59:22","2016-09-20 16:59:22"
14,"2016-09-20 16:59:22","2016-09-20 16:59:22"
147,"2016-09-20 16:59:22","2016-09-20 16:59:22"
121,"2016-09-20 16:59:22","2016-09-20 16:59:22"
157,"2016-09-20 16:59:22","2016-09-20 16:59:22"
154,"2016-09-20 16:59:22","2016-09-20 16:59:22"
35,"2016-09-20 16:59:22","2016-09-20 16:59:22"
150,"2016-09-20 16:59:22","2016-09-20 16:59:22"
9,"2016-09-20 16:59:22","2016-09-20 16:59:22"
118,"2016-09-20 16:59:22","2016-09-20 16:59:22"
144,"2016-09-20 16:59:22","2016-09-20 16:59:22"
138,"2016-09-20 16:59:22","2016-09-21 12:39:50"
184,"2016-09-26 17:41:46","2016-09-29 10:44:09"
174,"2016-09-23 08:55:09",""
175,"2016-09-23 08:55:39",""
160,"2016-09-20 16:59:22","2016-09-29 17:15:46"
183,"2016-09-26 17:41:29","2016-09-27 09:12:14"
177,"2016-09-23 13:33:45","2016-09-23 13:35:51"
213,"2016-10-04 12:40:43",""
47,"2016-09-20 16:59:22","2016-09-22 00:34:37"
193,"2016-09-30 15:14:43",""
178,"2016-09-23 13:53:43",""
162,"2016-08-03 23:37:56","2016-09-30 15:25:23"
192,"2016-09-28 17:07:13",""
163,"2016-08-03 23:40:03","2016-09-30 09:59:28"
187,"2016-09-27 11:23:54",""
166,"2016-09-21 08:42:14",""
171,"2016-09-21 15:37:01","2016-09-21 16:22:48"
152,"2016-09-20 16:59:22","2017-10-03 08:22:10"
172,"2016-09-22 08:37:11",""
173,"2016-09-22 08:42:38",""
169,"2016-09-21 11:07:07",""
170,"2016-09-21 11:09:02","2016-09-21 11:09:21"
5,"2016-09-20 16:59:22","2016-11-02 15:51:25"
182,"2016-09-26 17:41:19",""
188,"2016-09-27 12:44:54",""
185,"2016-09-27 09:01:26","2017-08-23 10:18:02"
179,"2016-09-23 17:06:49",""
180,"2016-09-23 17:10:29",""
7,"2016-09-20 16:59:22","2016-09-30 10:44:11"
176,"2016-09-23 11:08:51",""
189,"2016-09-27 16:39:36",""
186,"2016-09-27 09:03:15","2016-09-27 09:03:30"
116,"2016-09-20 16:59:22","2017-01-18 10:47:26"
211,"2016-10-03 08:41:01",""
128,"2016-09-20 16:59:22","2016-09-30 15:12:18"
194,"2016-09-30 15:15:07",""
164,"2016-09-21 23:45:55","2016-09-30 15:12:52"
195,"2016-09-30 15:15:42",""
196,"2016-09-30 15:16:16",""
197,"2016-09-30 15:16:38",""
198,"2016-09-30 15:17:19",""
199,"2016-09-30 15:17:48",""
200,"2016-09-30 15:18:15",""
201,"2016-09-30 15:18:43",""
202,"2016-09-30 15:19:08",""
203,"2016-09-30 15:19:48",""
204,"2016-09-30 15:20:32",""
205,"2016-09-30 15:21:14",""
206,"2016-09-30 15:21:32",""
207,"2016-09-30 15:21:52",""
208,"2016-09-30 15:22:24",""
209,"2016-09-30 15:22:47",""
210,"2016-09-30 15:23:19",""
212,"2016-10-03 09:10:35",""
214,"2016-10-05 09:21:05",""
181,"2016-09-26 12:10:20","2016-11-10 10:36:07"
50,"2016-09-20 16:59:22","2016-12-20 14:55:03"
31,"2016-09-20 16:59:22","2017-06-07 14:02:36"
110,"2016-09-20 16:59:22","2017-06-22 10:17:43"
48,"2016-09-20 16:59:22","2017-07-17 09:27:47"
18,"2016-09-20 16:59:22","2017-10-03 08:11:17"
151,"2016-09-20 16:59:22","2017-10-03 08:12:47"
191,"2016-09-28 10:26:29","2017-10-03 08:14:25"
190,"2016-09-28 10:24:40","2017-10-03 08:14:36"
125,"2016-09-20 16:59:22","2017-10-03 08:19:51"
127,"2016-09-20 16:59:22","2017-10-03 08:21:00"
167,"2016-09-21 10:19:08","2017-10-03 08:21:53"
43,"2016-09-20 16:59:22","2017-10-03 08:58:22"
126,"2016-09-20 16:59:22","2017-10-04 09:27:33"
288,"2016-12-05 09:36:47","2016-12-05 12:14:28"
215,"2016-10-06 16:57:55","2016-10-06 17:05:05"
372,"2017-03-28 09:40:32","2017-10-03 08:13:31"
291,"2016-12-06 00:15:04",""
217,"2016-10-07 10:24:03","2016-10-07 10:39:21"
219,"2016-10-10 08:34:32",""
220,"2016-10-10 11:12:38",""
292,"2016-12-06 11:06:24",""
293,"2016-12-06 14:49:40",""
221,"2016-10-10 11:39:02","2016-10-10 11:41:08"
222,"2016-10-10 15:55:46",""
294,"2016-12-07 08:42:00",""
295,"2016-12-07 12:14:49",""
287,"2016-12-02 17:31:37","2017-10-03 08:21:36"
224,"2016-10-11 09:28:50",""
275,"2016-11-27 23:10:17","2017-04-21 13:45:30"
296,"2016-12-08 12:25:49",""
297,"2016-12-08 17:58:12","2016-12-08 17:58:24"
298,"2016-12-09 10:33:59",""
299,"2016-12-09 10:34:58",""
300,"2016-12-09 11:49:12",""
226,"2016-10-13 08:47:36",""
301,"2016-12-16 14:34:31","2016-12-16 14:35:08"
227,"2016-10-13 09:55:32","2016-10-13 09:56:51"
228,"2016-10-13 12:17:54",""
302,"2016-12-16 14:36:15",""
230,"2016-10-16 14:18:19","2016-10-16 14:20:49"
231,"2016-10-18 12:35:35",""
304,"2016-12-26 09:57:11",""
232,"2016-10-21 09:09:38",""
305,"2016-12-26 10:39:39",""
235,"2016-10-24 16:13:16",""
236,"2016-11-01 17:08:55",""
237,"2016-11-02 08:34:23",""
306,"2016-12-26 14:11:23","2016-12-26 14:11:37"
307,"2016-12-27 16:58:08","2016-12-27 16:58:18"
350,"2017-02-14 17:29:52","2017-02-15 09:24:55"
308,"2016-12-29 10:43:56","2016-12-29 10:44:18"
309,"2016-12-30 09:45:27",""
218,"2016-10-10 08:34:18","2016-11-03 13:48:06"
239,"2016-11-07 23:34:36",""
240,"2016-11-07 11:31:46",""
242,"2016-11-08 08:35:05",""
243,"2016-11-08 15:29:10",""
244,"2016-11-09 22:44:55",""
246,"2016-11-09 23:48:54",""
310,"2017-01-10 11:33:04",""
245,"2016-11-09 23:48:42","2016-11-09 23:49:47"
247,"2016-11-09 15:14:33",""
248,"2016-11-09 16:25:36",""
249,"2016-11-10 09:02:14",""
311,"2017-01-11 08:54:12",""
250,"2016-11-10 09:23:43",""
312,"2017-01-11 08:56:37",""
252,"2016-11-11 23:15:04","2016-11-11 23:42:43"
253,"2016-11-11 23:43:44",""
254,"2016-11-11 23:44:23",""
255,"2016-11-11 09:01:19","2016-11-11 09:02:17"
256,"2016-11-11 10:02:37",""
313,"2017-01-11 12:08:49","2017-01-11 12:44:57"
314,"2017-01-12 10:42:03",""
315,"2017-01-13 09:43:30",""
316,"2017-01-17 15:55:01",""
317,"2017-01-17 16:13:39","2017-01-17 16:13:59"
258,"2016-11-11 15:28:10","2017-08-21 12:13:43"
259,"2016-11-15 02:27:09",""
318,"2017-01-18 08:41:56",""
319,"2017-01-20 10:39:20",""
320,"2017-01-23 10:38:32",""
353,"2017-02-15 17:13:32",""
260,"2016-11-14 13:51:27",""
261,"2016-11-18 10:35:00",""
262,"2016-11-18 10:39:18",""
263,"2016-11-18 15:39:55",""
322,"2017-01-23 17:27:07",""
329,"2017-02-01 09:23:34","2017-10-03 08:19:13"
303,"2016-12-23 09:26:20","2017-01-24 08:44:55"
271,"2016-11-26 02:37:19","2016-11-26 02:37:41"
323,"2017-01-24 10:30:55",""
272,"2016-11-27 22:44:51","2016-11-27 22:45:19"
273,"2016-11-27 22:47:19","2016-11-27 22:54:32"
274,"2016-11-27 23:06:59","2016-11-27 23:08:26"
276,"2016-11-28 00:00:07",""
277,"2016-11-28 00:24:46",""
278,"2016-11-28 23:50:30",""
279,"2016-11-28 08:48:53","2016-11-28 08:50:12"
324,"2017-01-24 10:47:31",""
325,"2017-01-26 17:19:48",""
354,"2017-02-15 17:39:33",""
326,"2017-01-26 17:30:02","2017-10-03 08:18:00"
280,"2016-11-29 10:04:03","2016-11-29 10:27:21"
281,"2016-11-29 14:12:48",""
282,"2016-12-01 15:39:33","2016-12-01 15:39:54"
283,"2016-12-01 15:43:04",""
264,"2016-11-18 18:00:27","2016-12-01 16:16:28"
327,"2017-02-01 09:09:20",""
284,"2016-12-01 16:43:29","2016-12-01 16:45:26"
285,"2016-12-02 11:04:31",""
286,"2016-12-02 11:20:54",""
328,"2017-02-01 09:21:02",""
352,"2017-02-15 10:32:36","2017-10-05 09:29:19"
289,"2016-12-05 11:14:40",""
257,"2016-11-11 12:19:26","2017-02-02 09:42:02"
335,"2017-02-06 15:20:14",""
361,"2017-02-21 11:01:09",""
336,"2017-02-07 12:12:25",""
338,"2017-02-08 09:38:13",""
339,"2017-02-08 09:52:06",""
355,"2017-02-16 09:28:35",""
340,"2017-02-08 11:58:58","2017-02-08 12:00:48"
341,"2017-02-08 16:19:00",""
356,"2017-02-17 00:50:15",""
385,"2017-04-25 16:35:54","2017-10-03 08:14:51"
290,"2016-12-05 17:17:07","2017-08-25 15:16:40"
344,"2017-02-13 15:03:23",""
346,"2017-02-14 11:09:21",""
347,"2017-02-14 12:33:50",""
348,"2017-02-14 12:44:28",""
349,"2017-02-14 16:58:05",""
362,"2017-02-21 11:51:51",""
333,"2017-02-06 12:17:25","2017-08-04 11:49:25"
351,"2017-02-15 10:27:10","2017-04-14 12:11:19"
357,"2017-02-17 09:05:17","2017-02-21 11:52:43"
358,"2017-02-17 18:14:24",""
359,"2017-02-19 23:53:39",""
367,"2017-03-20 15:34:05",""
360,"2017-02-20 15:46:15","2017-02-20 15:54:25"
365,"2017-02-28 23:35:41","2017-02-28 23:36:09"
233,"2016-10-21 12:16:41","2017-02-20 17:25:58"
363,"2017-02-21 12:27:38","2017-02-22 12:03:16"
364,"2017-02-22 17:05:07",""
337,"2017-02-08 09:37:11","2017-02-28 17:03:29"
366,"2017-03-13 03:43:23","2017-03-13 03:43:44"
369,"2017-03-21 17:39:06","2017-03-21 17:43:07"
371,"2017-03-27 12:15:17",""
376,"2017-04-02 00:25:24","2017-08-04 11:50:06"
373,"2017-03-31 09:18:47",""
374,"2017-03-31 12:28:27",""
375,"2017-03-31 12:28:36",""
377,"2017-04-03 11:46:49",""
378,"2017-04-04 10:21:11",""
379,"2017-04-04 11:16:23",""
380,"2017-04-13 11:29:57",""
238,"2016-11-03 09:02:17","2017-04-18 11:27:33"
381,"2017-04-21 18:04:33",""
382,"2017-04-25 10:27:24","2017-04-25 10:29:12"
383,"2017-04-25 11:52:40",""
384,"2017-04-25 14:11:23",""
216,"2016-10-08 00:14:06","2017-10-12 16:29:58"
334,"2017-02-06 15:16:04","2017-08-04 11:49:32"
368,"2017-03-20 16:33:10","2017-08-04 11:50:18"
343,"2017-02-09 15:28:35","2017-08-04 11:50:27"
345,"2017-02-14 09:28:38","2017-10-03 08:14:01"
265,"2016-11-23 16:16:59","2017-10-03 08:15:27"
223,"2016-10-10 17:24:56","2017-10-03 08:20:11"
386,"2017-04-26 11:24:06","2017-04-26 11:24:47"
387,"2017-05-12 14:18:21","2017-05-12 14:18:39"
388,"2017-05-22 12:03:12",""
389,"2017-05-23 12:27:48","2017-05-23 12:28:28"
390,"2017-05-24 09:06:45","2017-05-24 09:06:57"
391,"2017-05-24 15:09:45",""
392,"2017-05-25 12:05:34",""
393,"2017-05-26 16:45:51","2017-05-26 16:46:04"
394,"2017-07-04 15:49:12",""
396,"2017-07-20 16:54:39",""
397,"2017-07-21 14:39:27","2017-07-21 14:39:43"
398,"2017-07-24 09:07:00","2017-07-24 09:44:21"
399,"2017-08-04 11:48:39","2017-08-04 11:49:15"
370,"2017-03-23 14:59:02","2017-08-04 11:49:47"
400,"2017-08-21 09:18:41",""
401,"2017-08-21 09:56:22",""
395,"2017-07-17 10:17:19","2017-08-21 09:56:41"
402,"2017-08-23 11:20:50",""
403,"2017-08-25 10:53:01","2017-08-25 15:55:36"
404,"2017-08-29 12:31:08",""
405,"2017-08-29 15:37:12",""
406,"2017-08-29 15:56:35","2017-08-29 15:56:49"
408,"2017-09-22 08:00:07","2017-09-22 08:00:23"
409,"2017-09-22 08:02:26",""
410,"2017-09-22 10:03:45",""
342,"2017-02-09 12:23:25","2017-10-03 08:14:12"
45,"2016-09-20 16:59:22","2017-10-03 08:19:24"
412,"2017-10-04 09:58:22","2017-10-04 09:58:31"
413,"2017-10-05 16:47:22",""
414,"2017-10-06 10:46:44",""
415,"2017-10-06 10:58:42",""
416,"2017-10-06 13:31:30","2017-10-06 14:43:00"
417,"2017-10-06 15:29:20","2017-10-06 15:47:45"
418,"2017-10-06 15:58:40",""
419,"2017-10-06 16:27:43","2017-10-06 16:54:07"
420,"2017-10-08 15:24:18",""
411,"2017-09-26 13:39:25","2017-10-08 15:42:30"
421,"2017-10-09 10:26:34",""
422,"2017-10-09 10:53:33",""
423,"2017-10-11 08:11:24",""
424,"2017-10-11 08:12:40",""
425,"2017-10-13 09:42:46",""
426,"2017-10-16 08:53:07","2017-10-16 08:58:08"
427,"2017-10-16 16:14:15","2017-10-16 16:21:17"
428,"2017-10-17 21:44:51",""
429,"2017-10-18 15:00:05",""
430,"2017-10-19 08:09:59",""
431,"2017-10-19 16:38:16","2017-10-19 16:38:36"
432,"2017-10-23 10:34:12",""
433,"2017-10-25 15:54:01","2017-10-25 15:54:29"
434,"2017-10-26 09:03:56",""
435,"2017-10-26 12:35:17",""
436,"2017-10-27 14:29:29",""
437,"2017-10-28 12:38:55",""
